Jméno obce,Okres,Kraj,Počet voličů,Počet odevzdaných hlasů,Počet platných hlasů,Počet volebních okrsků,Číslo obce,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Běstvina,Chrudim,Pardubický kraj,440,247,246,1,571181,28,0,0,10,0,6,17,3,2,0,0,0,24,0,3,110,0,2,17,4,0,0,20,0
Biskupice,Chrudim,Pardubický kraj,52,34,34,1,573949,2,0,0,5,0,0,2,0,0,0,0,0,2,0,0,17,0,0,3,0,0,0,3,0
Bítovany,Chrudim,Pardubický kraj,330,215,214,1,505005,26,0,0,16,0,10,26,0,2,6,0,0,25,0,6,74,0,0,4,2,0,3,14,0
Bojanov,Chrudim,Pardubický kraj,537,357,356,1,571202,31,1,1,34,0,20,27,0,5,7,0,1,31,0,12,87,0,1,35,0,2,1,58,2
Bor u Skutče,Chrudim,Pardubický kraj,118,83,83,1,547867,10,0,1,9,0,11,6,1,3,0,0,0,7,0,3,15,0,2,4,1,0,0,10,0
Bořice,Chrudim,Pardubický kraj,148,81,81,1,571229,13,0,0,2,0,9,15,2,0,2,1,0,7,0,0,18,0,0,3,0,1,1,6,1
Bousov,Chrudim,Pardubický kraj,172,111,110,1,571237,3,1,0,5,1,6,11,2,0,2,0,1,10,0,0,46,0,1,4,2,0,0,14,1
Bylany,Chrudim,Pardubický kraj,301,203,203,1,571245,19,0,0,17,0,6,16,2,0,1,1,0,25,0,6,76,0,0,13,0,0,1,20,0
Ctětín,Chrudim,Pardubický kraj,223,141,140,1,571253,6,0,0,9,0,4,27,4,1,0,0,0,12,1,5,49,0,1,3,1,1,2,13,1
Čankovice,Chrudim,Pardubický kraj,269,158,157,1,571270,8,1,0,12,0,4,20,1,5,2,0,0,18,0,3,55,0,1,10,3,0,2,12,0
České Lhotice,Chrudim,Pardubický kraj,90,69,68,1,571296,9,0,0,12,0,4,3,1,2,1,0,0,5,0,1,18,0,0,7,0,0,0,5,0
Dědová,Chrudim,Pardubický kraj,116,76,75,1,571300,1,0,0,6,0,4,14,1,0,1,0,0,3,0,0,25,0,0,17,0,0,0,3,0
